file,status,recommendation,priority,notes
src/controllers/motion_modes/trpscanmotionmode.h,keep,None,NONE,Clean motion mode
src/controllers/motion_modes/pidcontroller.h,keep,None,NONE,Header-only PID clean
src/models/domain/systemstatemodel.h,keep,Needs refactor with .cpp,CRITICAL,Header is fine
src/models/domain/systemstatedata.h,keep,None,NONE,Large but necessary (626 members)
src/models/domain/daycameradatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/gyrodatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/joystickdatamodel.cpp,keep,None,NONE,Clean domain model
src/models/domain/joystickdatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/lrfdatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/nightcameradatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/plc21datamodel.h,keep,None,NONE,Clean domain model
src/models/domain/plc42datamodel.h,keep,None,NONE,Clean domain model
src/models/domain/radardatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/servoactuatordatamodel.h,keep,None,NONE,Clean domain model
src/models/domain/servodriverdatamodel.h,keep,None,NONE,Clean domain model
src/models/aboutviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/aboutviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/areazoneparameterviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/areazoneparameterviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/environmentalviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/environmentalviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/historyviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/historyviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/menuviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/menuviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/osdviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/osdviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/sectorscanparameterviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/sectorscanparameterviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/systemstatusviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/systemstatusviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/trpparameterviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/trpparameterviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/windageviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/windageviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/zeroingviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/zeroingviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/zonedefinitionviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/zonedefinitionviewmodel.h,keep,None,NONE,Clean ViewModel
src/models/zonemapviewmodel.cpp,keep,None,NONE,Clean ViewModel
src/models/zonemapviewmodel.h,keep,None,NONE,Clean ViewModel
src/utils/ballisticslut.cpp,keep,None,NONE,Ballistics lookup table
src/utils/ballisticslut.h,keep,None,NONE,Ballistics lookup table
src/utils/ballisticsprocessorlut.cpp,keep,None,NONE,LUT-based processor
src/utils/ballisticsprocessorlut.h,keep,None,NONE,LUT-based processor
src/utils/colorutils.cpp,keep,None,NONE,Color utilities
src/utils/colorutils.h,keep,None,NONE,Color utilities
src/utils/inference.cpp,keep,None,NONE,YOLO inference
src/utils/inference.h,keep,None,NONE,YOLO inference
src/utils/reticleaimpointcalculator.cpp,keep,None,NONE,Aim point math
src/utils/reticleaimpointcalculator.h,keep,None,NONE,Aim point math
src/video/gstvideosource.cpp,keep,None,NONE,GStreamer wrapper
src/video/gstvideosource.h,keep,None,NONE,GStreamer wrapper
src/video/videoimageprovider.cpp,keep,None,NONE,QML image provider
src/video/videoimageprovider.h,keep,None,NONE,QML image provider
src/config/AppConstants.h,keep,None,NONE,System constants
src/config/ConfigurationValidator.cpp,keep,None,NONE,Config validation
src/config/ConfigurationValidator.h,keep,None,NONE,Config validation
qml/views/main.qml,keep,None,NONE,Main UI entry
qml/views/MainMenu.qml,keep,None,NONE,Menu system
qml/common/NavigableList.qml,keep,None,NONE,Reusable component
qml/common/ParameterField.qml,keep,None,NONE,Reusable component
qml/components/AboutDialog.qml,keep,None,NONE,Production UI
qml/components/AreaZoneParameterPanel.qml,keep,None,NONE,Production UI
qml/components/AzimuthIndicator.qml,keep,None,NONE,Production UI
qml/components/CcipPipper.qml,keep,None,NONE,Production UI
qml/components/ElevationScale.qml,keep,None,NONE,Production UI
qml/components/EnvironmentalOverlay.qml,keep,None,NONE,Production UI
qml/components/OsdOverlay.qml,keep,None,NONE,Production UI
qml/components/ReticleRenderer.qml,keep,None,NONE,Production UI
qml/components/SectorScanParameterPanel.qml,keep,None,NONE,Production UI
qml/components/SystemStatusOverlay.qml,keep,None,NONE,Production UI
qml/components/TRPParameterPanel.qml,keep,None,NONE,Production UI
qml/components/TrackingBox.qml,keep,None,NONE,Production UI
qml/components/WindageOverlay.qml,keep,None,NONE,Production UI
qml/components/ZeroingOverlay.qml,keep,None,NONE,Production UI
qml/components/ZoneDefinitionOverlay.qml,keep,None,NONE,Production UI
qml/components/ZoneMapCanvas.qml,keep,None,NONE,Production UI
